customer_id,acquisition_date,variant,week4_active_rate,dispute_rate_30d,cohort_month
CUST-200464,2025-08-30,treatment,0.426,0.055,2025-08
CUST-200465,2025-12-22,treatment,0.496,0.065,2025-12
CUST-200466,2025-02-04,control,0.416,0.052,2025-02
CUST-200467,2025-04-12,treatment,0.596,0.057,2025-04
CUST-200468,2025-01-29,control,0.386,0.079,2025-01
CUST-200469,2025-06-17,treatment,0.346,0.064,2025-06
CUST-200470,2025-11-11,control,0.329,0.075,2025-11
CUST-200471,2025-07-16,treatment,0.558,0.061,2025-07
CUST-200472,2025-07-26,control,0.271,0.056,2025-07
CUST-200473,2025-04-04,control,0.435,0.071,2025-04
CUST-200474,2025-04-21,treatment,0.539,0.058,2025-04
CUST-200475,2025-08-11,control,0.375,0.062,2025-08
CUST-200476,2025-01-15,treatment,0.471,0.065,2025-01
CUST-200477,2025-06-27,control,0.634,0.065,2025-06
CUST-200478,2026-01-29,control,0.475,0.042,2026-01
CUST-200479,2025-08-17,treatment,0.397,0.027,2025-08
CUST-200480,2025-02-08,treatment,0.589,0.067,2025-02
CUST-200481,2025-06-17,treatment,0.404,0.033,2025-06
CUST-200482,2025-05-26,treatment,0.544,0.076,2025-05
CUST-200483,2025-10-07,control,0.469,0.063,2025-10
CUST-200484,2025-09-30,treatment,0.561,0.038,2025-09
CUST-200485,2026-01-27,treatment,0.521,0.032,2026-01
CUST-200486,2025-09-07,control,0.417,0.087,2025-09
CUST-200487,2025-04-05,control,0.37,0.028,2025-04
CUST-200488,2025-02-20,control,0.375,0.061,2025-02
CUST-200489,2025-03-05,control,0.435,0.07,2025-03
CUST-200490,2025-09-06,control,0.345,0.026,2025-09
CUST-200491,2025-08-27,treatment,0.53,0.031,2025-08
CUST-200492,2025-05-15,control,0.286,0.043,2025-05
CUST-200493,2025-10-22,treatment,0.525,0.089,2025-10
CUST-200494,2025-03-10,treatment,0.431,0.046,2025-03
CUST-200495,2025-10-13,control,0.561,0.067,2025-10
CUST-200496,2025-09-04,control,0.596,0.094,2025-09
CUST-200497,2025-03-12,control,0.453,0.054,2025-03
CUST-200498,2025-12-27,treatment,0.411,0.012,2025-12
CUST-200499,2025-12-14,control,0.438,0.01,2025-12
CUST-200500,2025-10-28,control,0.48,0.04,2025-10
CUST-200501,2025-09-23,control,0.401,0.073,2025-09
CUST-200502,2025-03-06,treatment,0.617,0.081,2025-03
CUST-200503,2026-01-22,treatment,0.53,0.057,2026-01
CUST-200504,2025-03-11,control,0.479,0.047,2025-03
CUST-200505,2025-11-19,treatment,0.615,0.025,2025-11
CUST-200506,2025-07-07,control,0.245,0.098,2025-07
CUST-200507,2025-09-25,treatment,0.437,0.098,2025-09
CUST-200508,2025-01-09,treatment,0.582,0.047,2025-01
CUST-200509,2025-05-07,treatment,0.533,0.07,2025-05
CUST-200510,2025-01-09,control,0.542,0.063,2025-01
CUST-200511,2025-10-19,treatment,0.542,0.041,2025-10
CUST-200512,2025-04-11,treatment,0.675,0.038,2025-04
CUST-200513,2025-05-06,treatment,0.532,0.016,2025-05
CUST-200514,2025-02-12,control,0.404,0.043,2025-02
CUST-200515,2025-02-22,treatment,0.366,0.055,2025-02
CUST-200516,2025-08-07,control,0.338,0.086,2025-08
CUST-200517,2025-05-17,treatment,0.567,0.046,2025-05
CUST-200518,2025-01-18,treatment,0.423,0.103,2025-01
CUST-200519,2025-12-02,control,0.449,0.043,2025-12
CUST-200520,2025-04-08,control,0.493,0.065,2025-04
CUST-200521,2025-01-18,treatment,0.516,0.071,2025-01
CUST-200522,2025-01-24,treatment,0.412,0.04,2025-01
CUST-200523,2025-06-12,treatment,0.52,0.073,2025-06
CUST-200524,2025-08-01,control,0.343,0.104,2025-08
CUST-200525,2025-02-21,treatment,0.453,0.022,2025-02
CUST-200526,2025-05-22,control,0.454,0.054,2025-05
CUST-200527,2025-05-19,control,0.494,0.032,2025-05
CUST-200528,2025-02-03,treatment,0.61,0.02,2025-02
CUST-200529,2025-09-18,control,0.516,0.086,2025-09
CUST-200530,2025-05-22,control,0.426,0.076,2025-05
CUST-200531,2025-10-08,control,0.36,0.044,2025-10
CUST-200532,2025-01-01,control,0.271,0.076,2025-01
CUST-200533,2025-01-14,treatment,0.495,0.018,2025-01
CUST-200534,2025-11-27,treatment,0.633,0.043,2025-11
CUST-200535,2025-05-11,control,0.43,0.053,2025-05
CUST-200536,2025-05-26,control,0.49,0.063,2025-05
CUST-200537,2025-06-17,control,0.566,0.052,2025-06
CUST-200538,2025-09-24,control,0.407,0.048,2025-09
CUST-200539,2025-10-12,control,0.277,0.079,2025-10
CUST-200540,2025-10-11,treatment,0.548,0.042,2025-10
CUST-200541,2025-12-16,treatment,0.382,0.059,2025-12
CUST-200542,2025-08-10,control,0.333,0.044,2025-08
CUST-200543,2025-04-11,control,0.476,0.024,2025-04
CUST-200544,2025-08-24,control,0.344,0.053,2025-08
CUST-200545,2025-04-27,control,0.236,0.033,2025-04
CUST-200546,2025-06-21,treatment,0.414,0.044,2025-06
CUST-200547,2025-01-12,treatment,0.523,0.071,2025-01
CUST-200548,2025-06-12,control,0.431,0.045,2025-06
CUST-200549,2025-08-28,treatment,0.492,0.077,2025-08
CUST-200550,2025-05-03,control,0.567,0.064,2025-05
CUST-200551,2025-02-13,treatment,0.537,0.093,2025-02
CUST-200552,2025-01-29,treatment,0.498,0.045,2025-01
CUST-200553,2025-02-17,control,0.429,0.07,2025-02
CUST-200554,2025-05-20,control,0.511,0.017,2025-05
CUST-200555,2026-02-03,control,0.424,0.046,2026-02
CUST-200556,2025-07-05,treatment,0.558,0.044,2025-07
CUST-200557,2025-12-30,treatment,0.569,0.075,2025-12
CUST-200558,2025-02-23,control,0.44,0.044,2025-02
CUST-200559,2026-01-24,control,0.47,0.084,2026-01
CUST-200560,2025-12-30,treatment,0.598,0.078,2025-12
CUST-200561,2025-02-04,treatment,0.335,0.034,2025-02
CUST-200562,2025-01-04,treatment,0.593,0.061,2025-01
CUST-200563,2025-09-15,treatment,0.415,0.045,2025-09
CUST-200564,2025-03-31,control,0.5,0.072,2025-03
CUST-200565,2025-09-14,control,0.348,0.062,2025-09
CUST-200566,2025-09-29,treatment,0.621,0.048,2025-09
CUST-200567,2025-01-26,treatment,0.568,0.034,2025-01
CUST-200568,2025-11-26,treatment,0.546,0.053,2025-11
CUST-200569,2025-12-13,treatment,0.508,0.019,2025-12
CUST-200570,2025-07-09,treatment,0.574,0.067,2025-07
CUST-200571,2026-01-08,treatment,0.518,0.04,2026-01
CUST-200572,2025-08-24,control,0.341,0.091,2025-08
CUST-200573,2025-10-20,control,0.287,0.08,2025-10
CUST-200574,2025-04-20,treatment,0.532,0.059,2025-04
CUST-200575,2025-09-11,control,0.376,0.062,2025-09
CUST-200576,2026-01-17,control,0.444,0.072,2026-01
CUST-200577,2025-11-07,control,0.404,0.062,2025-11
CUST-200578,2025-09-15,treatment,0.594,0.059,2025-09
CUST-200579,2025-06-12,treatment,0.718,0.063,2025-06
CUST-200580,2025-02-22,control,0.454,0.062,2025-02
CUST-200581,2025-05-17,treatment,0.579,0.059,2025-05
CUST-200582,2025-10-22,treatment,0.609,0.075,2025-10
CUST-200583,2025-07-30,control,0.483,0.093,2025-07
CUST-200584,2025-02-21,control,0.542,0.024,2025-02
CUST-200585,2025-04-05,treatment,0.413,0.0,2025-04
CUST-200586,2025-06-11,treatment,0.559,0.064,2025-06
CUST-200587,2025-01-19,treatment,0.621,0.077,2025-01
CUST-200588,2025-07-16,treatment,0.342,0.04,2025-07
CUST-200589,2026-01-01,treatment,0.503,0.079,2026-01
CUST-200590,2025-10-16,control,0.379,0.047,2025-10
CUST-200591,2026-01-10,control,0.329,0.051,2026-01
CUST-200592,2026-02-03,control,0.389,0.09,2026-02
CUST-200593,2025-01-22,control,0.349,0.043,2025-01
CUST-200594,2025-05-29,treatment,0.429,0.051,2025-05
CUST-200595,2025-03-22,control,0.426,0.06,2025-03
CUST-200596,2025-09-28,treatment,0.623,0.066,2025-09
CUST-200597,2025-01-15,treatment,0.646,0.022,2025-01
CUST-200598,2025-09-26,control,0.471,0.04,2025-09
CUST-200599,2025-06-04,control,0.392,0.052,2025-06
CUST-200600,2025-03-15,control,0.52,0.053,2025-03
CUST-200601,2025-03-25,control,0.421,0.067,2025-03
CUST-200602,2025-09-15,control,0.371,0.041,2025-09
CUST-200603,2025-07-09,treatment,0.564,0.045,2025-07
CUST-200604,2025-12-18,control,0.546,0.05,2025-12
CUST-200605,2026-01-27,treatment,0.406,0.053,2026-01
CUST-200606,2025-08-11,control,0.37,0.078,2025-08
CUST-200607,2025-10-03,treatment,0.612,0.081,2025-10
CUST-200608,2025-07-11,control,0.485,0.063,2025-07
CUST-200609,2025-06-06,treatment,0.541,0.089,2025-06
CUST-200610,2025-09-17,treatment,0.611,0.01,2025-09
CUST-200611,2025-01-06,control,0.544,0.068,2025-01
CUST-200612,2025-11-19,treatment,0.516,0.079,2025-11
CUST-200613,2025-10-01,control,0.603,0.057,2025-10
CUST-200614,2025-04-01,control,0.623,0.083,2025-04
CUST-200615,2025-01-02,treatment,0.471,0.041,2025-01
CUST-200616,2025-03-07,treatment,0.499,0.059,2025-03
CUST-200617,2025-10-08,treatment,0.456,0.046,2025-10
CUST-200618,2025-09-18,control,0.491,0.03,2025-09
CUST-200619,2025-09-24,treatment,0.374,0.05,2025-09
CUST-200620,2025-01-14,treatment,0.437,0.062,2025-01
CUST-200621,2025-01-07,treatment,0.537,0.038,2025-01
CUST-200622,2025-11-27,control,0.467,0.056,2025-11
CUST-200623,2025-07-01,treatment,0.469,0.05,2025-07
CUST-200624,2025-05-01,control,0.291,0.074,2025-05
CUST-200625,2025-02-01,control,0.515,0.077,2025-02
CUST-200626,2025-02-14,treatment,0.458,0.054,2025-02
CUST-200627,2025-10-24,treatment,0.513,0.029,2025-10
CUST-200628,2025-11-02,treatment,0.465,0.078,2025-11
CUST-200629,2025-04-23,treatment,0.65,0.054,2025-04
CUST-200630,2025-03-31,treatment,0.417,0.079,2025-03
CUST-200631,2025-05-01,treatment,0.545,0.027,2025-05
CUST-200632,2025-06-10,treatment,0.604,0.041,2025-06
CUST-200633,2025-12-06,control,0.403,0.043,2025-12
CUST-200634,2025-06-15,control,0.414,0.046,2025-06
CUST-200635,2025-11-05,treatment,0.543,0.063,2025-11
CUST-200636,2025-11-25,control,0.368,0.035,2025-11
CUST-200637,2025-08-27,control,0.376,0.069,2025-08
CUST-200638,2025-04-16,control,0.463,0.078,2025-04
CUST-200639,2026-01-30,control,0.449,0.062,2026-01
CUST-200640,2025-09-11,control,0.423,0.059,2025-09
CUST-200641,2025-10-05,treatment,0.444,0.071,2025-10
CUST-200642,2026-02-04,treatment,0.391,0.0,2026-02
CUST-200643,2025-09-02,treatment,0.499,0.073,2025-09
CUST-200644,2025-08-28,control,0.478,0.069,2025-08
CUST-200645,2025-11-28,control,0.391,0.064,2025-11
CUST-200646,2025-02-26,treatment,0.576,0.042,2025-02
CUST-200647,2026-01-21,control,0.452,0.066,2026-01
CUST-200648,2025-04-24,control,0.243,0.094,2025-04
CUST-200649,2026-01-23,control,0.32,0.079,2026-01
CUST-200650,2025-08-03,control,0.379,0.036,2025-08
CUST-200651,2025-12-19,treatment,0.53,0.033,2025-12
CUST-200652,2025-05-09,control,0.38,0.064,2025-05
CUST-200653,2025-10-31,treatment,0.551,0.023,2025-10
CUST-200654,2025-07-26,treatment,0.57,0.039,2025-07
CUST-200655,2025-09-16,treatment,0.53,0.04,2025-09
CUST-200656,2025-08-06,control,0.239,0.063,2025-08
CUST-200657,2026-01-30,control,0.453,0.064,2026-01
CUST-200658,2025-10-22,treatment,0.504,0.057,2025-10
CUST-200659,2025-04-11,treatment,0.586,0.037,2025-04
CUST-200660,2025-09-07,treatment,0.476,0.034,2025-09
CUST-200661,2025-05-27,control,0.44,0.047,2025-05
CUST-200662,2025-10-07,treatment,0.546,0.084,2025-10
CUST-200663,2025-07-11,control,0.419,0.044,2025-07
CUST-200664,2025-03-29,treatment,0.488,0.038,2025-03
CUST-200665,2025-03-31,treatment,0.466,0.0,2025-03
CUST-200666,2025-06-19,treatment,0.454,0.043,2025-06
CUST-200667,2025-07-13,treatment,0.379,0.032,2025-07
CUST-200668,2025-11-27,control,0.482,0.078,2025-11
CUST-200669,2025-09-13,treatment,0.558,0.043,2025-09
CUST-200670,2025-10-28,control,0.447,0.053,2025-10
CUST-200671,2025-03-01,treatment,0.457,0.041,2025-03
CUST-200672,2025-03-14,treatment,0.442,0.026,2025-03
CUST-200673,2025-01-15,control,0.326,0.04,2025-01
CUST-200674,2025-01-26,control,0.181,0.074,2025-01
CUST-200675,2025-02-28,control,0.37,0.046,2025-02
CUST-200676,2025-09-19,treatment,0.333,0.03,2025-09
CUST-200677,2025-07-02,treatment,0.534,0.066,2025-07
CUST-200678,2025-06-27,treatment,0.503,0.075,2025-06
CUST-200679,2025-10-23,control,0.604,0.057,2025-10
CUST-200680,2025-06-14,treatment,0.514,0.061,2025-06
CUST-200681,2025-01-03,control,0.423,0.028,2025-01
CUST-200682,2025-01-11,treatment,0.604,0.056,2025-01
CUST-200683,2025-03-13,treatment,0.504,0.085,2025-03
CUST-200684,2025-06-02,treatment,0.591,0.038,2025-06
CUST-200685,2025-12-20,treatment,0.555,0.051,2025-12
CUST-200686,2025-03-13,control,0.509,0.032,2025-03
CUST-200687,2025-10-21,treatment,0.454,0.019,2025-10
CUST-200688,2025-01-14,control,0.382,0.061,2025-01
CUST-200689,2025-02-13,treatment,0.455,0.015,2025-02
CUST-200690,2025-06-09,control,0.392,0.062,2025-06
CUST-200691,2025-09-12,treatment,0.369,0.061,2025-09
CUST-200692,2025-11-26,treatment,0.568,0.028,2025-11
CUST-200693,2025-10-24,treatment,0.55,0.056,2025-10
CUST-200694,2025-12-23,control,0.541,0.049,2025-12
CUST-200695,2025-06-23,treatment,0.382,0.024,2025-06
CUST-200696,2025-04-06,treatment,0.591,0.043,2025-04
CUST-200697,2025-06-18,treatment,0.48,0.055,2025-06
CUST-200698,2025-04-20,control,0.416,0.116,2025-04
CUST-200699,2025-05-23,control,0.423,0.028,2025-05
CUST-200700,2025-02-09,treatment,0.587,0.034,2025-02
CUST-200701,2025-11-04,control,0.439,0.026,2025-11
CUST-200702,2025-12-30,control,0.424,0.06,2025-12
CUST-200703,2025-02-08,control,0.383,0.058,2025-02
CUST-200704,2025-01-27,treatment,0.502,0.053,2025-01
CUST-200705,2025-11-18,control,0.338,0.054,2025-11
CUST-200706,2026-01-10,treatment,0.675,0.073,2026-01
CUST-200707,2025-01-07,control,0.314,0.066,2025-01
CUST-200708,2025-09-14,treatment,0.461,0.078,2025-09
CUST-200709,2025-06-15,control,0.359,0.084,2025-06
CUST-200710,2025-11-11,control,0.407,0.048,2025-11
CUST-200711,2025-07-26,treatment,0.403,0.026,2025-07
CUST-200712,2025-03-29,treatment,0.446,0.066,2025-03
CUST-200713,2025-04-27,treatment,0.398,0.042,2025-04
CUST-200714,2025-09-01,control,0.431,0.069,2025-09
CUST-200715,2025-04-14,control,0.338,0.055,2025-04
CUST-200716,2025-02-13,control,0.527,0.073,2025-02
CUST-200717,2025-08-01,control,0.357,0.031,2025-08
CUST-200718,2025-09-21,treatment,0.447,0.079,2025-09
CUST-200719,2025-11-16,control,0.366,0.062,2025-11
CUST-200720,2025-08-29,treatment,0.655,0.035,2025-08
CUST-200721,2025-06-10,control,0.336,0.084,2025-06
CUST-200722,2025-11-26,treatment,0.561,0.026,2025-11
CUST-200723,2025-07-02,treatment,0.472,0.005,2025-07
CUST-200724,2025-09-15,treatment,0.509,0.04,2025-09
CUST-200725,2025-12-27,control,0.45,0.063,2025-12
CUST-200726,2026-01-24,treatment,0.435,0.049,2026-01
CUST-200727,2025-06-27,control,0.437,0.084,2025-06
CUST-200728,2025-07-16,treatment,0.589,0.068,2025-07
CUST-200729,2025-12-14,treatment,0.545,0.049,2025-12
CUST-200730,2025-08-09,treatment,0.555,0.054,2025-08
CUST-200731,2025-10-29,control,0.447,0.035,2025-10
CUST-200732,2025-01-31,treatment,0.461,0.067,2025-01
CUST-200733,2025-11-26,control,0.374,0.072,2025-11
CUST-200734,2025-02-13,control,0.476,0.074,2025-02
CUST-200735,2025-06-05,control,0.407,0.027,2025-06
CUST-200736,2025-03-11,treatment,0.492,0.04,2025-03
CUST-200737,2026-01-07,control,0.408,0.074,2026-01
CUST-200738,2025-02-17,control,0.295,0.017,2025-02
CUST-200739,2025-08-07,control,0.486,0.056,2025-08
CUST-200740,2025-02-24,treatment,0.578,0.038,2025-02
CUST-200741,2025-01-08,treatment,0.485,0.06,2025-01
CUST-200742,2025-04-15,treatment,0.538,0.049,2025-04
CUST-200743,2025-02-01,treatment,0.488,0.037,2025-02
CUST-200744,2025-04-22,control,0.361,0.045,2025-04
CUST-200745,2025-03-06,control,0.545,0.065,2025-03
CUST-200746,2025-10-06,control,0.419,0.038,2025-10
CUST-200747,2025-03-10,control,0.399,0.056,2025-03
CUST-200748,2025-07-14,treatment,0.361,0.027,2025-07
CUST-200749,2025-01-01,treatment,0.6,0.035,2025-01
CUST-200750,2026-01-06,control,0.301,0.036,2026-01
CUST-200751,2025-06-26,control,0.327,0.055,2025-06
CUST-200752,2025-05-18,treatment,0.314,0.049,2025-05
CUST-200753,2025-05-10,control,0.387,0.08,2025-05
CUST-200754,2025-01-26,treatment,0.623,0.066,2025-01
CUST-200755,2025-04-14,control,0.389,0.098,2025-04
CUST-200756,2025-12-04,treatment,0.51,0.056,2025-12
CUST-200757,2025-06-04,control,0.404,0.071,2025-06
CUST-200758,2025-12-04,treatment,0.499,0.027,2025-12
CUST-200759,2025-03-13,control,0.436,0.091,2025-03
CUST-200760,2025-05-26,control,0.325,0.091,2025-05
CUST-200761,2025-09-10,control,0.641,0.061,2025-09
CUST-200762,2025-01-29,treatment,0.656,0.064,2025-01
CUST-200763,2025-05-22,control,0.466,0.055,2025-05
CUST-200764,2025-12-19,control,0.454,0.045,2025-12
CUST-200765,2025-07-17,control,0.525,0.06,2025-07
CUST-200766,2026-01-09,control,0.495,0.077,2026-01
CUST-200767,2025-02-26,treatment,0.431,0.061,2025-02
CUST-200768,2026-02-03,control,0.423,0.063,2026-02
CUST-200769,2025-12-18,control,0.513,0.095,2025-12
CUST-200770,2025-06-06,treatment,0.557,0.054,2025-06
CUST-200771,2025-08-13,control,0.483,0.1,2025-08
CUST-200772,2025-02-20,treatment,0.553,0.071,2025-02
CUST-200773,2025-03-04,control,0.355,0.072,2025-03
CUST-200774,2025-06-01,control,0.389,0.076,2025-06
CUST-200775,2025-05-11,treatment,0.604,0.048,2025-05
CUST-200776,2025-08-23,treatment,0.484,0.044,2025-08
CUST-200777,2025-12-28,treatment,0.498,0.038,2025-12
CUST-200778,2025-01-18,control,0.593,0.102,2025-01
CUST-200779,2025-12-02,control,0.473,0.065,2025-12
CUST-200780,2025-04-20,control,0.44,0.051,2025-04
CUST-200781,2025-09-18,treatment,0.631,0.076,2025-09
CUST-200782,2026-01-12,control,0.504,0.065,2026-01
CUST-200783,2025-10-21,control,0.437,0.059,2025-10
CUST-200784,2025-01-18,control,0.293,0.046,2025-01
CUST-200785,2025-08-26,treatment,0.561,0.025,2025-08
CUST-200786,2025-03-02,control,0.487,0.075,2025-03
CUST-200787,2025-04-12,treatment,0.552,0.03,2025-04
CUST-200788,2025-08-21,treatment,0.495,0.013,2025-08
CUST-200789,2025-08-22,control,0.389,0.082,2025-08
CUST-200790,2026-01-19,treatment,0.518,0.036,2026-01
CUST-200791,2025-04-24,treatment,0.423,0.049,2025-04
CUST-200792,2026-01-12,treatment,0.527,0.041,2026-01
CUST-200793,2025-06-24,control,0.476,0.094,2025-06
CUST-200794,2025-04-14,control,0.39,0.052,2025-04
CUST-200795,2025-09-07,treatment,0.457,0.075,2025-09
CUST-200796,2025-09-03,control,0.565,0.091,2025-09
CUST-200797,2025-12-26,treatment,0.51,0.054,2025-12
CUST-200798,2026-01-22,control,0.364,0.044,2026-01
CUST-200799,2025-09-23,treatment,0.453,0.006,2025-09
CUST-200800,2025-09-09,control,0.405,0.065,2025-09
CUST-200801,2025-04-25,control,0.346,0.092,2025-04
CUST-200802,2025-03-30,treatment,0.512,0.039,2025-03
CUST-200803,2025-08-26,control,0.311,0.083,2025-08
CUST-200804,2025-10-05,control,0.274,0.052,2025-10
CUST-200805,2025-05-28,control,0.369,0.079,2025-05
CUST-200806,2025-07-24,control,0.44,0.084,2025-07
CUST-200807,2025-08-18,control,0.517,0.059,2025-08
CUST-200808,2025-07-17,treatment,0.507,0.063,2025-07
CUST-200809,2025-01-19,treatment,0.506,0.065,2025-01
CUST-200810,2025-07-15,control,0.241,0.047,2025-07
CUST-200811,2025-03-27,treatment,0.65,0.007,2025-03
CUST-200812,2025-02-15,control,0.345,0.028,2025-02
CUST-200813,2025-07-07,control,0.376,0.038,2025-07
CUST-200814,2025-11-12,control,0.253,0.095,2025-11
CUST-200815,2025-11-15,control,0.43,0.065,2025-11
CUST-200816,2025-05-19,control,0.625,0.063,2025-05
CUST-200817,2025-08-16,treatment,0.529,0.046,2025-08
CUST-200818,2025-03-15,control,0.356,0.041,2025-03
CUST-200819,2025-04-23,control,0.408,0.06,2025-04
CUST-200820,2025-06-26,treatment,0.626,0.026,2025-06
CUST-200821,2025-06-05,treatment,0.535,0.051,2025-06
CUST-200822,2025-09-15,control,0.385,0.03,2025-09
CUST-200823,2025-10-26,control,0.505,0.054,2025-10
CUST-200824,2025-08-10,control,0.539,0.075,2025-08
CUST-200825,2025-01-12,control,0.506,0.072,2025-01
CUST-200826,2025-11-24,control,0.361,0.062,2025-11
CUST-200827,2025-07-02,treatment,0.625,0.05,2025-07
CUST-200828,2025-12-04,control,0.404,0.087,2025-12
CUST-200829,2025-04-20,treatment,0.475,0.046,2025-04
CUST-200830,2025-09-06,control,0.363,0.046,2025-09
CUST-200831,2025-04-08,treatment,0.406,0.053,2025-04
CUST-200832,2025-08-09,control,0.377,0.058,2025-08
CUST-200833,2025-12-01,control,0.305,0.056,2025-12
CUST-200834,2025-08-15,treatment,0.467,0.06,2025-08
CUST-200835,2026-02-04,treatment,0.526,0.038,2026-02
CUST-200836,2025-06-07,control,0.381,0.035,2025-06
CUST-200837,2025-02-20,control,0.326,0.047,2025-02
CUST-200838,2025-07-07,control,0.309,0.019,2025-07
CUST-200839,2025-11-30,control,0.436,0.091,2025-11
CUST-200840,2025-07-30,control,0.47,0.096,2025-07
CUST-200841,2025-09-02,control,0.408,0.063,2025-09
CUST-200842,2025-11-17,treatment,0.57,0.025,2025-11
CUST-200843,2025-04-16,treatment,0.404,0.058,2025-04
CUST-200844,2025-10-26,control,0.342,0.069,2025-10
CUST-200845,2026-01-17,control,0.451,0.094,2026-01
CUST-200846,2025-03-20,control,0.318,0.034,2025-03
CUST-200847,2025-03-16,control,0.405,0.036,2025-03
CUST-200848,2026-01-27,treatment,0.462,0.02,2026-01
CUST-200849,2026-01-24,treatment,0.42,0.05,2026-01
CUST-200850,2026-01-22,control,0.374,0.038,2026-01
CUST-200851,2025-12-09,treatment,0.665,0.06,2025-12
CUST-200852,2025-04-22,control,0.436,0.102,2025-04
CUST-200853,2025-08-13,control,0.601,0.088,2025-08
CUST-200854,2026-02-04,control,0.408,0.03,2026-02
CUST-200855,2025-10-09,control,0.447,0.069,2025-10
CUST-200856,2025-07-30,treatment,0.308,0.054,2025-07
CUST-200857,2025-09-01,treatment,0.519,0.071,2025-09
CUST-200858,2025-04-01,treatment,0.415,0.042,2025-04
CUST-200859,2025-05-21,control,0.361,0.052,2025-05
CUST-200860,2025-10-16,treatment,0.587,0.04,2025-10
CUST-200861,2026-01-21,control,0.435,0.017,2026-01
CUST-200862,2025-01-20,control,0.297,0.053,2025-01
CUST-200863,2025-06-15,treatment,0.423,0.04,2025-06
CUST-200864,2025-10-03,treatment,0.55,0.063,2025-10
CUST-200865,2025-07-05,control,0.412,0.065,2025-07
CUST-200866,2025-12-01,treatment,0.591,0.034,2025-12
CUST-200867,2025-09-16,control,0.291,0.081,2025-09
CUST-200868,2025-05-21,control,0.479,0.064,2025-05
CUST-200869,2025-11-02,treatment,0.537,0.026,2025-11
CUST-200870,2025-05-14,control,0.347,0.046,2025-05
CUST-200871,2025-06-15,control,0.388,0.046,2025-06
CUST-200872,2025-04-19,control,0.498,0.062,2025-04
CUST-200873,2026-02-04,control,0.218,0.041,2026-02
CUST-200874,2025-06-12,treatment,0.582,0.072,2025-06
CUST-200875,2026-01-17,control,0.482,0.067,2026-01
CUST-200876,2025-08-18,treatment,0.607,0.056,2025-08
CUST-200877,2025-02-20,control,0.425,0.059,2025-02
CUST-200878,2025-11-01,treatment,0.377,0.04,2025-11
CUST-200879,2025-03-20,treatment,0.366,0.05,2025-03
CUST-200880,2025-12-21,treatment,0.464,0.042,2025-12
CUST-200881,2026-01-21,control,0.512,0.083,2026-01
CUST-200882,2025-08-08,control,0.395,0.03,2025-08
CUST-200883,2025-06-09,treatment,0.539,0.033,2025-06
CUST-200884,2025-07-09,treatment,0.412,0.05,2025-07
CUST-200885,2025-11-07,control,0.402,0.019,2025-11
CUST-200886,2025-05-30,treatment,0.344,0.063,2025-05
CUST-200887,2025-01-21,control,0.518,0.067,2025-01
CUST-200888,2025-08-27,treatment,0.494,0.065,2025-08
CUST-200889,2025-10-23,treatment,0.458,0.0,2025-10
CUST-200890,2025-02-27,control,0.414,0.081,2025-02
CUST-200891,2025-05-24,control,0.395,0.091,2025-05
CUST-200892,2025-07-06,treatment,0.449,0.052,2025-07
CUST-200893,2025-09-03,control,0.424,0.083,2025-09
CUST-200894,2025-07-23,control,0.39,0.063,2025-07
CUST-200895,2025-10-29,control,0.509,0.067,2025-10
CUST-200896,2025-09-09,control,0.507,0.066,2025-09
CUST-200897,2025-10-13,treatment,0.368,0.113,2025-10
CUST-200898,2025-01-28,treatment,0.477,0.054,2025-01
CUST-200899,2026-01-03,treatment,0.608,0.031,2026-01
CUST-200900,2025-06-21,control,0.372,0.05,2025-06
CUST-200901,2025-06-19,control,0.541,0.089,2025-06
CUST-200902,2025-11-01,control,0.376,0.052,2025-11
CUST-200903,2025-06-16,treatment,0.379,0.06,2025-06
CUST-200904,2025-11-10,treatment,0.451,0.031,2025-11
CUST-200905,2025-11-26,control,0.398,0.087,2025-11
CUST-200906,2025-08-06,control,0.394,0.077,2025-08
CUST-200907,2025-08-15,control,0.288,0.072,2025-08
CUST-200908,2025-12-15,control,0.315,0.096,2025-12
CUST-200909,2025-10-26,control,0.366,0.035,2025-10
CUST-200910,2025-10-29,control,0.34,0.101,2025-10
CUST-200911,2025-10-07,treatment,0.631,0.077,2025-10
CUST-200912,2025-11-15,control,0.424,0.083,2025-11
CUST-200913,2025-11-04,control,0.559,0.064,2025-11
CUST-200914,2025-11-14,treatment,0.581,0.064,2025-11
CUST-200915,2025-06-12,treatment,0.617,0.063,2025-06
CUST-200916,2025-10-19,control,0.346,0.071,2025-10
CUST-200917,2025-07-26,treatment,0.556,0.099,2025-07
CUST-200918,2025-12-09,treatment,0.635,0.036,2025-12
CUST-200919,2025-07-17,treatment,0.543,0.037,2025-07
CUST-200920,2025-02-08,treatment,0.512,0.041,2025-02
CUST-200921,2025-11-22,treatment,0.617,0.032,2025-11
CUST-200922,2025-07-21,control,0.294,0.045,2025-07
CUST-200923,2025-01-17,treatment,0.393,0.05,2025-01
CUST-200924,2025-11-27,treatment,0.612,0.068,2025-11
CUST-200925,2025-01-21,treatment,0.606,0.072,2025-01
CUST-200926,2025-02-13,treatment,0.47,0.024,2025-02
CUST-200927,2025-10-12,treatment,0.29,0.048,2025-10
CUST-200928,2025-03-04,treatment,0.349,0.012,2025-03
